****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 362221 ******* 

Variable    Labels

ER30000    RELEASE NUMBER                          
ER30001    1968 INTERVIEW NUMBER                   
ER30002    PERSON NUMBER                         68
ER32000    SEX OF INDIVIDUAL                       
ER32006    WHETHER SAMPLE OR NONSAMPLE             
ER10001    RELEASE NUMBER                          
ER10002    1997 INTERVIEW #                        
ER10009    AGE OF HEAD                             
ER10010    SEX OF HEAD                             
ER10012    # CHILDREN IN FU                        
ER10013    AGE YOUNGEST CHILD                      
ER10017    A4 TYPE DU                              
ER10035    A19 OWN/RENT OR WHAT                    
ER10068    A38 IN PUBLIC OWND PROJ?                
ER11065    F12 FOR HOW MANY PEOPLE                 
ER11272    WHETHER ADC/AFDC HEAD                   
ER11273    ADC/AFDC OF HEAD                        
ER11287    WHETHER SSI HEAD                        
ER11289    SSI OF HEAD                             
ER11303    WHETHER OTHER WELFARE HD                
ER11304    OTHER WELFARE OF HEAD                   
ER11319    WHETHER HEAD VA PENSION                 
ER11322    VA PENSION OF HEAD AMT                  
ER11336    WTR NONVA RETIREMT-HEAD                 
ER11337    NONVA RETIREMENT-HEAD                   
ER11351    WHETHER HEAD ANNUITIES                  
ER11352    ANNUITIES OF HEAD                       
ER11366    WHETHER HEAD OTR PENSION                
ER11367    OTHER PENSION OF HEAD                   
ER11382    WTR UNEMPL COMP OF HEAD                 
ER11383    AMT UNEMPL COMP OF HEAD                 
ER11397    WTR WORKMEN COMP OF HEAD                
ER11398    AMT WORKMEN COMP OF HEAD                
ER11412    WTR CHILD SUPPORT OF HD                 
ER11413    AMT CHILD SUPPORT OF HD                 
ER11723    H1 STATUS OF HEALTH-HEAD                
ER11727    H8 STATUS OF HEALTH-WIFE                
ER11846    L38 PARENTS POOR OR? HD                 
ER11848    L40/95 RACE OF HEAD 1                   
ER12079    TOTAL FAMILY INCOME                     
ER12220    CENSUS NEEDS STANDARD-1996              
ER12221    PSID STATE OF RESIDENCE CODE            
ER12221A   BEALE RURAL-URBAN CODE                  
ER12222    COMPLETED ED-HD                         
ER12223C   COUPLE STATUS OF HEAD                   
ER33401    1997 INTERVIEW NUMBER                   
ER33402    SEQUENCE NUMBER                       97
ER33403    RELATION TO HEAD                      97
ER33411    EMPLOYMENT STATUS                     97
ER13001    RELEASE NUMBER                          
ER13002    1999 FAMILY INTERVIEW (ID) NUMBER       
ER13004    PSID STATE OF RESIDENCE CODE            
ER13010    AGE OF HEAD                             
ER13011    SEX OF HEAD                             
ER13013    # CHILDREN IN FU                        
ER13014    AGE YOUNGEST CHILD                      
ER13022    A4 TYPE DU                              
ER13040    A19 OWN/RENT OR WHAT                    
ER13073    A38 IN PUBLIC OWND PROJ?                
ER14284    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER14538    WHETHER ADC/AFDC HEAD                   
ER14539    ADC/AFDC OF HEAD                        
ER14553    WHETHER SSI HEAD                        
ER14555    SSI OF HEAD                             
ER14569    WHETHER OTHER WELFARE HD                
ER14570    OTHER WELFARE OF HEAD                   
ER14585    WHETHER HEAD VA PENSION                 
ER14588    VA PENSION OF HEAD AMT                  
ER14602    WTR NONVA RETIREMT-HEAD                 
ER14603    NONVA RETIREMENT-HEAD                   
ER14617    WHETHER HEAD ANNUITIES                  
ER14618    ANNUITIES OF HEAD                       
ER14632    WHETHER HEAD OTR PENSION                
ER14633    OTHER PENSION OF HEAD                   
ER14648    WTR UNEMPL COMP OF HEAD                 
ER14649    AMT UNEMPL COMP OF HEAD                 
ER14663    WTR WORKMEN COMP OF HEAD                
ER14664    AMT WORKMEN COMP OF HEAD                
ER14678    WTR CHILD SUPPORT OF HD                 
ER14679    AMT CHILD SUPPORT OF HD                 
ER15447    H1 STATUS OF HEALTH-HEAD                
ER15555    H25 STATUS OF HEALTH                    
ER15926    L39 PARENTS POOR OR? HD                 
ER15928    L40/95 RACE OF HEAD 1                   
ER16425    COUPLE STATUS OF HEAD                   
ER16427    CENSUS NEEDS STANDARD-PREVIOUS YR       
ER16431    BEALE RURAL-URBAN CODE                  
ER16462    TOTAL FAMILY INCOME                     
ER16516    COMPLETED ED-HD                         
ER33501    1999 INTERVIEW NUMBER                   
ER33502    SEQUENCE NUMBER                       99
ER33503    RELATION TO HEAD                      99
ER33512    EMPLOYMENT STATUS                     99
ER17001    RELEASE NUMBER                          
ER17002    2001 FAMILY INTERVIEW (ID) NUMBER       
ER17004    PSID STATE OF RESIDENCE CODE            
ER17013    AGE OF HEAD                             
ER17014    SEX OF HEAD                             
ER17016    # CHILDREN IN FU                        
ER17017    AGE YOUNGEST CHILD                      
ER17025    A4 TYPE DU                              
ER17043    A19 OWN/RENT OR WHAT                    
ER17084    A38 IN PUBLIC OWND PROJ?                
ER18416    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER18697    WHETHER ADC/AFDC HEAD                   
ER18698    ADC/AFDC OF HEAD                        
ER18713    WHETHER SSI HEAD                        
ER18715    SSI OF HEAD                             
ER18730    WHETHER OTHER WELFARE HD                
ER18731    OTHER WELFARE OF HEAD                   
ER18747    WHETHER HEAD VA PENSION                 
ER18750    VA PENSION OF HEAD AMT                  
ER18765    WTR NONVA RETIREMT-HEAD                 
ER18766    NONVA RETIREMENT-HEAD                   
ER18781    WHETHER HEAD ANNUITIES                  
ER18782    ANNUITIES OF HEAD                       
ER18797    WHETHER HEAD OTR PENSION                
ER18798    OTHER PENSION OF HEAD                   
ER18814    WTR UNEMPL COMP OF HEAD                 
ER18815    AMT UNEMPL COMP OF HEAD                 
ER18830    WTR WORKMEN COMP OF HEAD                
ER18831    AMT WORKMEN COMP OF HEAD                
ER18846    WTR CHILD SUPPORT OF HD                 
ER18847    AMT CHILD SUPPORT OF HD                 
ER19612    H1 STATUS OF HEALTH-HEAD                
ER19720    H25 STATUS OF HEALTH                    
ER19987    L38 PARENTS POOR OR? HD                 
ER19989    L40/95 RACE OF HEAD 1                   
ER20371    COUPLE STATUS OF HEAD                   
ER20373    CENSUS NEEDS STANDARD-PREVIOUS YR       
ER20377    BEALE RURAL-URBAN CODE                  
ER20456    TOTAL FAMILY INCOME-2000                
ER20457    COMPLETED ED-HD                         
ER33601    2001 INTERVIEW NUMBER                   
ER33602    SEQUENCE NUMBER                       01
ER33603    RELATION TO HEAD                      01
ER33612    EMPLOYMENT STATUS                     01
ER21001    RELEASE NUMBER                          
ER21002    2003 FAMILY INTERVIEW (ID) NUMBER       
ER21003    PSID STATE OF RESIDENCE CODE            
ER21017    AGE OF HEAD                             
ER21018    SEX OF HEAD                             
ER21020    # CHILDREN IN FU                        
ER21021    AGE YOUNGEST CHILD                      
ER21024    A4 TYPE DU                              
ER21042    A19 OWN/RENT OR WHAT                    
ER21082    A38 IN PUBLIC OWND PROJ?                
ER21681    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER22069    G25E WHETHER ADC/TANF HEAD              
ER22070    ADC/TANF OF HEAD                        
ER22085    G25F WHETHER SSI HEAD                   
ER22087    SSI OF HEAD                             
ER22102    G25G WHETHER OTHER WELFARE HD           
ER22103    OTHER WELFARE OF HEAD                   
ER22119    G37 WHETHER HEAD VA PENSION             
ER22120    VA PENSION OF HEAD AMT                  
ER22135    G40A WTR NONVA RETIREMT-HEAD            
ER22136    NONVA RETIREMENT-HEAD                   
ER22151    G40B WHETHER HEAD ANNUITIES             
ER22152    ANNUITIES OF HEAD                       
ER22167    G40C WHETHER HEAD OTR PENSION           
ER22168    OTHER PENSION OF HEAD                   
ER22184    G44A WTR UNEMPL COMP OF HEAD            
ER22185    AMT UNEMPL COMP OF HEAD                 
ER22200    G44B WTR WORKMEN COMP OF HEAD           
ER22201    AMT WORKMEN COMP OF HEAD                
ER22216    G44C WTR CHILD SUPPORT OF HD            
ER22217    AMT CHILD SUPPORT OF HD                 
ER23009    H1 HEALTH STATUS-HEAD                   
ER23136    H25 HEALTH STATUS-WIFE                  
ER23424    L38 PARENTS POOR OR? HD                 
ER23426    L40/95 RACE OF HEAD 1                   
ER24099    TOTAL FAMILY INCOME LAST YEAR           
ER24140    CENSUS NEEDS STANDARD-PREVIOUS YR       
ER24144    BEALE RURAL-URBAN CODE                  
ER24148    COMPLETED ED-HD                         
ER24152    COUPLE STATUS OF HEAD                   
ER33701    2003 INTERVIEW NUMBER                   
ER33702    SEQUENCE NUMBER                       03
ER33703    RELATION TO HEAD                      03
ER33712    EMPLOYMENT STATUS                     03
ER25001    RELEASE NUMBER                          
ER25002    2005 FAMILY INTERVIEW (ID) NUMBER       
ER25003    PSID STATE OF RESIDENCE CODE            
ER25017    AGE OF HEAD                             
ER25018    SEX OF HEAD                             
ER25020    # CHILDREN IN FU                        
ER25021    AGE YOUNGEST CHILD                      
ER25024    A4 TYPE DU                              
ER25028    A19 OWN/RENT OR WHAT                    
ER25073    A36 IN PUBLIC OWND PROJ?                
ER25683    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER26050    G25E WHETHER ADC/TANF HEAD              
ER26051    ADC/TANF OF HEAD                        
ER26066    G25F WHETHER SSI HEAD                   
ER26068    SSI OF HEAD                             
ER26083    G25G WHETHER OTHER WELFARE HD           
ER26084    OTHER WELFARE OF HEAD                   
ER26100    G37 WHETHER HEAD VA PENSION             
ER26101    VA PENSION OF HEAD AMT                  
ER26116    G40A WTR NONVA RETIREMT-HEAD            
ER26117    NONVA RETIREMENT-HEAD                   
ER26132    G40B WHETHER HEAD ANNUITIES             
ER26133    ANNUITIES OF HEAD                       
ER26148    G40C WHETHER HEAD OTR PENSION           
ER26149    OTHER PENSION OF HEAD                   
ER26165    G44A WTR UNEMPL COMP OF HEAD            
ER26166    AMT UNEMPL COMP OF HEAD                 
ER26181    G44B WTR WORKMEN COMP OF HEAD           
ER26182    AMT WORKMEN COMP OF HEAD                
ER26197    G44C WTR CHILD SUPPORT OF HD            
ER26198    AMT CHILD SUPPORT OF HD                 
ER26990    H1 HEALTH STATUS-HEAD                   
ER27113    H25 HEALTH STATUS-WIFE                  
ER27390    L38 PARENTS POOR OR?-HD                 
ER27393    L40 RACE OF HEAD-MENTION 1              
ER28037    TOTAL FAMILY INCOME-2004                
ER28039    CENSUS NEEDS STANDARD-2004              
ER28043    BEALE RURAL-URBAN CODE                  
ER28047    COMPLETED ED-HD                         
ER28051    COUPLE STATUS OF HEAD                   
ER33801    2005 INTERVIEW NUMBER                   
ER33802    SEQUENCE NUMBER                       05
ER33803    RELATION TO HEAD                      05
ER33813    EMPLOYMENT STATUS                     05
ER36001    RELEASE NUMBER                          
ER36002    2007 FAMILY INTERVIEW (ID) NUMBER       
ER36003    PSID STATE OF RESIDENCE CODE            
ER36017    AGE OF HEAD                             
ER36018    SEX OF HEAD                             
ER36020    # CHILDREN IN FU                        
ER36021    AGE YOUNGEST CHILD                      
ER36024    A4 TYPE DU                              
ER36028    A19 OWN/RENT OR WHAT                    
ER36075    A36 IN PUBLIC OWND PROJ?                
ER36701    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER37068    G25E WHETHER ADC/TANF HEAD              
ER37069    ADC/TANF OF HEAD                        
ER37084    G25F WHETHER SSI HEAD                   
ER37086    SSI OF HEAD                             
ER37101    G25G WHETHER OTHER WELFARE HD           
ER37102    OTHER WELFARE OF HEAD                   
ER37118    G37 WHETHER HEAD VA PENSION             
ER37119    VA PENSION OF HEAD AMT                  
ER37134    G40A WTR NONVA RETIREMT-HEAD            
ER37135    NONVA RETIREMENT-HEAD                   
ER37150    G40B WHETHER HEAD ANNUITIES             
ER37151    ANNUITIES OF HEAD                       
ER37166    G40C WHETHER HEAD OTR PENSION           
ER37167    OTHER PENSION OF HEAD                   
ER37183    G44A WTR UNEMPL COMP OF HEAD            
ER37184    AMT UNEMPL COMP OF HEAD                 
ER37199    G44B WTR WORKMEN COMP OF HEAD           
ER37200    AMT WORKMEN COMP OF HEAD                
ER37215    G44C WTR CHILD SUPPORT OF HD            
ER37216    AMT CHILD SUPPORT OF HD                 
ER37728    W135 PARENTS POOR OR?--HD               
ER38202    H1 HEALTH STATUS-HEAD                   
ER39299    H1 HEALTH STATUS-WIFE                   
ER40565    L40 RACE OF HEAD-MENTION 1              
ER41027    TOTAL FAMILY INCOME-2006                
ER41029    CENSUS NEEDS STANDARD-2006              
ER41033    BEALE RURAL-URBAN CODE                  
ER41037    COMPLETED ED-HD                         
ER41041    COUPLE STATUS OF HEAD                   
ER33901    2007 INTERVIEW NUMBER                   
ER33902    SEQUENCE NUMBER                       07
ER33903    RELATION TO HEAD                      07
ER33913    EMPLOYMENT STATUS                     07
ER42001    RELEASE NUMBER                          
ER42002    2009 FAMILY INTERVIEW (ID) NUMBER       
ER42003    PSID STATE OF RESIDENCE CODE            
ER42017    AGE OF HEAD                             
ER42018    SEX OF HEAD                             
ER42020    # CHILDREN IN FU                        
ER42021    AGE YOUNGEST CHILD                      
ER42025    A4 TYPE DU                              
ER42029    A19 OWN/RENT OR WHAT                    
ER42090    A36 IN PUBLIC OWND PROJ?                
